,original subtotal,discount,net subtotal,tax,shipping,area,notes,tender,payment cash,payment card,payment gift card,payment store credit,payment check,payment other,payment total,gift card sold,gift card used
151414,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
152272,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
152724,200.00,0.00,200.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,200.00,,
152757,36.00,0.00,36.00,2.25,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,46.25,,
152758,36.00,0.00,36.00,2.25,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,46.25,,
152759,36.00,0.00,36.00,2.25,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,46.25,,
152906,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
153001,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
153261,1000.00,0.00,1000.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,,
153596,30.00,0.00,30.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,30.00,,
154075,500.00,0.00,500.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,500.00,,
154148,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
154559,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
154614,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
155133,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
155238,76.00,0.00,76.00,0.00,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,84.00,,
155239,76.00,0.00,76.00,0.00,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,84.00,,
155240,76.00,0.00,76.00,0.00,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,84.00,,
155241,76.00,0.00,76.00,0.00,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,84.00,,
155242,76.00,0.00,76.00,0.00,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,84.00,,
155641,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
156581,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
156926,36.00,0.00,36.00,2.25,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,38.25,,
156927,36.00,0.00,36.00,2.25,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,38.25,,
157230,27.00,0.00,27.00,1.69,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,36.69,,
157231,27.00,0.00,27.00,1.69,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,36.69,,
157232,27.00,0.00,27.00,1.69,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,36.69,,
157236,36.00,0.00,36.00,0.00,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,44.00,,
157237,36.00,0.00,36.00,0.00,8.00,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,44.00,,
157511,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
158371,36.00,0.00,36.00,0.00,44.15,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,80.15,,
158372,36.00,0.00,36.00,0.00,44.15,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,80.15,,
158440,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
158529,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
159454,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
159743,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
160481,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
161172,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
161615,1000.00,0.00,1000.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,,
161682,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
161771,1025.00,0.00,1025.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,1025.00,,
161826,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
161877,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
162575,72.00,0.00,72.00,0.00,11.50,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,83.50,,
162604,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
